"Document","Document (lien)","Titre","Activités","Complétude","Localisation","Altitude","Régions","Contributeur","Contributeur (lien)","Date","Type d'évènement","Nombre de participants","Participants associés","Nombre de personnes touchées","Intervention des services de secours","Gravité","Niveau de risque d'avalanche","Pente de la zone de départ","Âge","Sexe","Implication dans la situation","Niveau de pratique","Fréquence de pratique dans l'activité","Nombre de sorties","Blessures antérieures","Résumé","Description","Lieu","Étude de l'itinéraire","Conditions","Préparation physique et niveau technique","Motivations","Gestion du groupe","Niveau de l'attention et évaluation des risques","Gestion de l'horaire","Mesures et techniques de sécurité mises en oeuvre","Éléments ayant atténué les conséquences de l'évènement","Éléments ayant aggravé les conséquences de l'évènement","Conséquences sur les pratiques","Conséquences physiques et autres commentaires","Itinéraires associés","Sorties associées","Articles associés"
"1170050","https://www.camptocamp.org/xreports/1170050","Lastrone da vento","ski de randonnée","ébauche","[1150313.7003144675:5818504.084046206]","2100","Italie,Ortles,Province de Brescia","nesquik","https://www.camptocamp.org/users/199680","2019-12-23","avalanche","2",,"0","non","pas de blessure","3 - marqué","30-35","35","H","témoin direct","autonome","1 à 2 fois par semaine","15 et plus",,"Lastrone da vento","Lastrone da vento di una ventina di metri di estensione poco sotto il filo di cresta staccatosi al passaggio dello scialpinista che ci precedeva alla base del pendio, nessun travolto o ferito.","Monte Pagano spallone sud",,,,,,,,,,,,,"https://www.camptocamp.org/routes/145283",,
"1167628","https://www.camptocamp.org/xreports/1167628","Déclenchement de plaque à distance en zone peu raide","ski de randonnée","bon","[720772.8114257469:5516308.054448883]","2000","France,Alpes-de-Haute-Provence,Préalpes de Digne","guidon","https://www.camptocamp.org/users/1166820","2019-12-15","avalanche","2",,"0","non","pas de blessure","4 - fort","35-40","50","H","témoin direct","expert","1 à 2 fois par semaine","15 et plus",,"déclenchement à distance d'une petite coulée dans une zone ventée et plaquée","
On avait identifié le danger de cette zone à 2050m. petite crête avec un début de coulée de surface surplombant un cône d'avalanche (50m par 20/30m de large). Nous devions passer en bas du cône dans la zone quasi plate de 10m de large ou s'est arrêtée l'avalanche.
On est passé chacun notre tour de point de sécu en point de sécu. Une fois passé, après une réflexion du genre, ""bon, c'est pas tombé"", je reprends la trace, 2 pas et vrouf! J'ai posé le ski sur un déclencheur, tout craque autour de nous, la fissure se propage en 2s et atteint la rupture de pente qu'on avait identifié à 50m de là et déclenche cette petite avalanche. Après le spectacle et une analyse de la situation, on repart.
100 m plus loin apparait le même piège en version XXL. Un petit ravin très facile à passer faisant 3m de profondeur et 15m de large bordé par 2 accumulations sur une pente à 10° max, pas de danger apparent. Les pentes ou nous comptions passer était à 10 ou 20° max. Sauf que les pentes qui nous surplombent sont plaquées, il y a une reptation dans du 40/45° et surtout une quantité de neige mobilisable impressionnante. Pas envie de tester si les 2 plaques étaient des des boutons ON pour peut être toute la face qui nous surplombait! on a fait demi tour.","objectif prévu, le col la pierre. départ de Peynier par la piste carrossable



","Itinéraire connue vérifiée en fonction du risque élevé (4) et de l'iso 0 à 2700m  sur Yéti ne passant pas dans les pentes à risque
","Beaucoup de neige dans ce vallon, environ 60 à 90 cm de poudre croutée qui cède la plupart du temps sous le ski. ""Gros brassage"" à la montée. trace profonde jusqu'au haut de la chaussure. Neige non ventée et homogène jusqu'à environ 1950/2000m. 
température fraîche, la croute n'a pas bougé sauf sur les pentes pleins sud. Iso 0 probablement beaucoup plus bas que ce que la météo avait annoncé (2700m), au moins pour ce versant nord est.
Puis 2 vrouf sur des croupes (pente environ 20°max) dès que nous sommes passés en zone ventée au dessus de 1950/2000m environ.","ski de rando depuis 20 ans. accompagné par un ami qui fait entre 40 et 60 sortie par an. On cumule chacun 15000m depuis début novembre 2019. Moyenne des sorties 1300/1500m de dénivellé. Nous faisons peu de couloirs et de pentes au dessus de 40°. rarement du 45°","Balade pour sortir prendre l'air malgré le risque élevé dans un endroit que mon ami connait bien. évalué sans grand risque au départ. ","nous nous connaissons bien et sommes tous deux attentifs. Nous échangeons régulièrement sur la qualité de la neige ou dès qu'un de nous sent un risque. ","l'apparition d'une zone ventée nous a alerté. 2 premiers vrouf nous ont démontré que le manteau neigeux pouvait être instable et que des plaques à vent étaient présentes. Nous avons choisi les pentes les plus faibles en conséquence et augmenter la distance entre nous.","nous avions juste prévu de partir à 8h30 de chez nous. début de rando à 9h30. avalanche à 12h30.","sacs airbag et DVA. distance et arrêt sur des zones ""de sécurité"". descente chacun notre tour en observant l'autre.","attention accrue après constatation du changement d'état du manteau neigeux ",,"De cette expérience, j'ai pris conscience de façon beaucoup plus claire du besoin d'analyser le risque en prenant en compte un périmètre vaste. Je le faisais avant mais je n'avais peut être pas suffisamment conscience que les vroufs des plaques à vent inoffensives,car sur des pentes très faibles et sur des croupes, déstabilisent le manteau neigeux sur une vaste zone et peuvent être les déclencheurs d'avalanche distantes dans des pentes qui vont mobiliser de gros volumes.
L'itinéraire choisie doit passer loin des zones à risques (identifiées sur Yéti) en fonction des contraintes topographiques.",,,,
"1153621","https://www.camptocamp.org/xreports/1153621","Menace de décrochage d'un gros bloc dans une longueur","escalade","ébauche","[37134.06380379219:5307666.378129979]",,"France,Hautes-Pyrénées,Bigorre - Ordesa","Pyrenantes","https://www.camptocamp.org/users/12797","2019-10-05","chute de pierres",,,,,,,,,,,,,,,"Arrêté la chute d'un bloc sans possibilité de le stabiliser. Ai dû l'attacher à un petit arbre pour l'empêcher de tomber sur les grimpeurs en dessous.","Un gros bloc (>50 kg ? car impossible de le soulever) déstabilisé par la corde était en train de basculer dans la pente raide, en axe de la voie avec peut-être des grimpeurs dessous... J'ai pu le bloquer en équilibre avec mon genou mais ne pouvait rien faire pour arrêter sa chute. Seule solution trouvée : avec une main, le sangler et l'attacher à un petit arbre. Cette solution ne tiendra qu'un temps.","L3 de la voie ""Les cannes de Jeanne"", 10-15 mètres sous la cheminée Laffranque. L'arbrisseau est bien visible avec la sangle accrochée à la base.",,,,,,,,,,,"crée un danger objectif pour l'accès à la paroi et la voie
",,"https://www.camptocamp.org/routes/57090",,
"1150471","https://www.camptocamp.org/xreports/1150471","Chute de bloc à Pié Berarde ","randonnée","ébauche","[703875.7472096214:5610112.10628834]","3000","France,Isère,Écrins","Antoine Marnat","https://www.camptocamp.org/users/384121","2019-09-20","chute de pierres","4",,"0","non","pas de blessure","non renseigné",,"30","H","victime secondaire","expert","1 à 2 fois par semaine","15 et plus",,"Dans les pentes en éboulis entre la pointe et le col de Pié Berarde, chute de 3 blocs d'une centaine de litre. ","Descente de la Pointe de Pié Berarde, large pente en éboulis de gros blocs peu stable. Descente groupée et/ou en décalé. 
Juste avant d'atteindre le col de Pié Berarde, je prend 20m d'avance pour repérer et récupérer les bâtons laissés à la montée. 
Manque de chance, c'est le moment où 3 gros blocs décident de partir sous les pieds d'un participant, juste au niveau d'une dalle leur permettant de prendre de la vitesse, et juste à mon aplomb. Heureusement je suis assez loin pour réagir et m'échapper de leur trajectoire. Plus de peur que de mal, mais vu la masse ça aurait pu finir très mal. ","Dans les pentes en éboulis entre la pointe et le col de Pié Berarde, juste au dessus du col, au niveau d'une petite dalle en rive droite. ","Peu étudié, c'était un plan B. ","Été indien, paramètre qui n'influe pas l'incident. ","Fatigue de fin de saison d'été, mais itinéraire en deçà de nos habitudes question technicité et physique. ","Sortie plaisir avant tout, qu'on a transformé en rando plutôt qu'alpi en cours de route. ",,"Milieu bien connu, baisse d'attention au moment de récupérer les bâtons à la descente. ","Départ tardif, changement d'itinéraire pour ne pas rater l'apero. ","Évolution en décalé/groupé. ","Assez de distance pour réagir. La personne qui declanche n'est pas emportée. ",,"Continuer à surveiller les chutes de pierre, ne pas relâcher son attention. ","Un pinçon au petit doigt. ",,"https://www.camptocamp.org/outings/1150463",
"1146425","https://www.camptocamp.org/xreports/1146425","Accident Ossau traversée 4 pointes","rocher haute-montagne","moyen","[-48484.36533985738:5287849.541048166]","2680","France,Pyrénées-Atlantiques,Béarn - Balaïtous - Partacua","Eric Gerardin","https://www.camptocamp.org/users/12175","2019-08-31","chute de pierres","4",,"1","oui","De 1 à 3 mois",,,"15","H","victime principale","autonome","2 à 3 fois par mois",,,,"Sortie: traversée des 4 pointes à l'Ossau avec un départ à 6h20 du refuge.
Progression satisfaisante (nous étions dans un horaire de 10à 11h en AR du refuge. Itinéraire bien connu et déjà parcouru intégralement 2 fois (une en 9h, un en 11h à plusieurs cordées).
dans la dernière cheminée juste avant la pointe d'Aragon, chute d'une pierre ( de 10 à 15cm de côté) de 7-8m déclenchée par la corde sur le 2nd. Fracture avec déplacement de l'avant bras gauche.
Installation du jeune bléssé sur une terrasse 1 à 2m au dessus de l'incident et attente des secours environ 35min.
hélitreuillage du jeune avec un secouriste, puis de son père qui était au relais supérieur avec moi.
Poursuite de la course jusqu'au Grand Pic et descente par la VN avec la 4 ème et le matos des 2 cordées.",,,"Beau temps, assez chaud pour la saison, quasiment pas de vent.","2 initiateurs alpinismes, 1 jeune de 15 ans en école d'aventure depuis 4 à 5 ans et une famille pratiquante.
Une fille ( 30 ans d'un bon niveau (EPAF) mais manquant d'expérience encore.",,,"Pas vu la pierre en équilibre alors que j'avais anticipé le déplacement de la corde  (avec le déplacement du 2nd)","Dans les temps pour un faire un horaire très correct (10 à 11h)","Relais renforcés, préparation en fonction de l'arrivée des secours. Mise en place d'une corde faisant le lien entre le bléssé, son père et le reste de la cordée.",,,"Faire attention encore plus aux rochers en équilibre.","Double fracture de l'avant bras gauche avec déplacement.
Plâtre 3 semaines
Broches 6 mois","https://www.camptocamp.org/routes/57320",,
"1137844","https://www.camptocamp.org/xreports/1137844","Rochers nouvellement instables au Blanc de Moming","rocher haute-montagne","ébauche","[853169.2753632677:5792206.084592732]","3635","Suisse,Valais,Valais W - Alpes Pennines W","Alex Gnaegi","https://www.camptocamp.org/users/7823","2019-08-11","chute de pierres",,,"1","non","pas de blessure",,,,,"victime principale","expert","2 à 3 fois par mois","15 et plus",,"Rochers très délités sous le Blanc de Moming dans une zone habituellement en neige. ","Course d'arête entre le Besson et le Blanc de Moming. La fin de l'arête sous le Blanc de Moming est habituellement en mixte neige et rocher. Cette année, il n'y a plus du tout de neige. En grimpant les derniers 30-50 mètres, les rochers sous forme de dalle se mettent en mouvement à la moindre traction. Un de mes doigts s'est trouvé coincé par une grosse dalle. Heureusement mon compagnon de cordée a pu soulever légèrement la dalle permettant de dégager mon doigt",,,"Beau, chaud, isotherme zéro vers 4000m, vent modéré d'ouest",,,,,,,,,"Cette arête bien réputée risque de ne plus être recommandée ",,"https://www.camptocamp.org/routes/56051",,
"1145737","https://www.camptocamp.org/xreports/1145737","Perdu sur les mauvaises arêtes !","randonnée","ébauche","[659150.4138197971:5628502.443991432]",,"France,Isère,Taillefer - Armet","Daniel Farge","https://www.camptocamp.org/users/5594","2019-08-09","autre","1",,"1","non","pas de blessure","non renseigné",,"46","H","victime principale","expert","au moins 3 fois par semaine","15 et plus",,"Après 4h de course je suis égaré sur des arêtes (a priori rocher culasson sur la carte IGN) ","Je courre en montagne depuis pas mal d'années et j'ai voulu profiter des conditions vraiment estivales pour faire une belle boucle du côté du Taillefer. Je ne connais pas très bien ce massif mais avec les nombreux panneaux de randonnées et mon appli MyTrail sur mon smartphone je pense que je m'en sortirai. En plus un copain qui connait très bien le coin m'avait des indications précises sur le parcours. 

Vers 14h, je me gare un peu au dessus de la Morte et j'entame la première montée qui me conduit sans encombre, en moins de 2h, au sommet du Grand Galbert. Je redescends sur le refuge du Taillefer et de là je commence l'ascension du Taillefer. Bien vite je me retrouve dans des pierriers avec un marquage plus que discret. Ma progression est moins rapide et je perds pas mal de temps pour franchir un nevé bien raide au niveau d'un col. De ce dernier je pense rejoindre tres vite le sommet du Taillefer quand je réalise qu'en fait je me suis trompé de sommet. Mon appli m'indique que je suis sur le chemin de la pyramide.

En face de moi je devine une sente qui semble rejoindre le Taillefer. De loin, elle ne semble pas terrible du tout mais en fait le sentier est bon et après une dizaine de minutes je suis enfin sur le bon sommet.

De là, je rejoins rapidement le col d'ou j'ai prévu de redescendre par les arêtes de Brouffier. L'appli sur mon smartPhone n'a pas une carte très précise et je suis bien incapable de dire où se trouvent ces aretes. Je regarde autour de moi et légèrement au dessus du col, je vois des arêtes rocheuses avec quelques cairns. Je pense que c'est forcement là. Je rejoins les premiers cairns et commence ma traversée sur les arêtes. 

Rapidement les cairns disparaissent. Le vide se creuse de chaque coté et les passages sont de plus en plus techniques. J'ai l'habitde de ce genre de terrain mais normalement je le pratique encordé. Là, j'ai conscience qu'un faux pas serait surement mortel. Je repense à mon copain qui m'avait expliqué avoir parcouru ses arêtes avec son fils de 6 ans ! Finalement après une trentaine minutes de progression de plus en plus lente et dangereuse, je me résigne à faire demi tour. Je reste concentré sur toute la partie du retour et quand je reviens au col je me sens incroyablement heureux ! J'ai perdu beaucoup de temps mais je suis entier.

Je décide de redescendre par le lac Fourchu. Tant pis pour la boucle par le pas de la vache. Je ferai ca une prochaine fois.","Taillefer - Rocher Culasson","J'avais bien etudié l'itinéraire, j'avais une appli de géolocalisation mais le fond de carte n'etait pas assez précis. Je n'avais pas pensé à utiliser la trace GPS que mon copain m'avait donné
En plus je pense que avec la fatigue j'ai manqué de lucidité","très chaud en vallée, température parfaite en montagne ","J'étais très bien préparé physiquement et techniquement","J'ai voulu profiter d'une belle après midi","j'étais seul","Je n'avais pas prévu de difficulté technique pour cette sortie","J'etais en retard sur mes plans mais j'avais encore largement de la marge avant l'arrivée de la nuit. Je suis arrivé au Poursellet vers 20h.",,"Bon niveau technique en escalade, connaissance des terrains de montagne en général, capacité à garder son calme","Fatigue et carte trop imprécise","Utiliser un meilleur logiciel de cartographie (ou au moins une meilleur carte).",,,,
"1138195","https://www.camptocamp.org/xreports/1138195","gros grain au Strahlhorn","neige glace mixte","ébauche","[879527.4432776483:5782626.962636994]","4130","Suisse,Valais,Valais E - Alpes Pennines E","Carpe Diem","https://www.camptocamp.org/users/136048","2019-08-05","autre","5","https://www.camptocamp.org/users/136048","0","non","pas de blessure","non renseigné",,,,,"autonome","moins d'1 fois par mois","de 5 à 9",,"Pris dans la ""tempête"" au dessus de 4000m
","## La météo annonçait beau temps avec quelques nuages, du coup les petits flocons au début de la course ne nous ont pas inquiétés (çà va se lever)...

Au lever du jour le soleil est quand même là. 

Arrivés sur le plateau le ciel s'assombrit vraiment, certains sommets voisins disparaissent dans le brouillard.
Petit arrêt un peu au dessus 4000m, çà se couvre encore, mais le sommet est là, on continue.
Vers 4130m (50-60m sous le sommet) la croix disparait dans le brouillard et le vent se lève, on décide de rebrousser chemin... Et là le temps de faire demi tour et c'est la folie!!! Vent glacial et violent, grêle, plus aucune visibilité et traces effacées.
On descend en catastrophe (avec l'aide du GPS qui nous a permis de gagner du temps pour retrouver le passage idéal pour franchir les quelques trous de la rimaye) pour retrouver un temps plus calme 150 mètres plus bas.
Pour une fois que ma cordée est loin devant les autres ;-)

[Un petit aperçu des conditions en haut:](https://photos.app.goo.gl/46NKoXGe9iWjg6KS9)

Une cordée de 2 croisée un peu au dessus de 4000m qui continuait vers le sommet, tous les autre groupes ont fait demi tour.
La trace est plus marquée dans les pentes du col, la visibilité revient mais le vent encore froid nous pousse à continuer à descendre jusque 3600m pour retrouver le soleil et prendre une pause. ","50-60m sous le sommet du Strahlhorn","Topo papier et camptocamp, pas de soucis de ce côté là, sommet en vue","Météo prévue: beau temps avec quelques passages nuageux

Météo réelle: quelques précipitations en fin de nuit, puis éclaircies, ""tempête"" près du sommet","groupe bien homogène, bien acclimaté... On était en avance sur les autres cordées qui ont pris le mauvais temps 100-150m plus bas (moins de vent traces plus marquées) ","Faire une ""vraie course"" sur un 4000 après la ""promenade Allalinhorn","Un membre du groupe  a proposé de faire demi-tour 5-10 minutes plus tôt. Après discussion on décide de continuer, mais en décidant à l'avance que l'on redescend si le sommet est pris dans le brouillard","attention au maximum sur les conditions météo (toutes les difficultés étaient passées, mis à part l'arête finale que l'on n'a pas atteinte), mais sommet en vue, tout proche, je pense que si on avait été plus loin du but on aurait fait demi tour plus vite","Pas de problème de ce côté là... Peut-être même qu'en arrivant une heure plus tard on aurait pu éviter le plus mauvais, mais on n'a pas revu la cordée qui a tenté le sommet donc on ne sait pas","Changement dans l'ordre de la cordée, j'étais devant à la montée, je suis resté devant à la descente (j'ai le GPS) le second plus expérimenté est passé en queue de cordée pour bien assurer.","Lors du premier arrêt vers 4000m j'ai testé si mon GPS avait bien enregistré la trace.
On a mis les gros gants lors de cet arrêt également
Les petites précipitations du matin nous ont incités à faire la course avec les vestes gore-tex donc pas de temps perdu pour les enfiler lorsque le temps s'est gâté.","si on avait décidé de faire demi tour dès le premier arrêt on aurait pris le mauvais temps un peu plus bas et plus à l'abri du vent","Première vraies grosses intempéries en haute altitude pour tous les membres du groupe, quelques jours après on avait prévu un autre 4000, mais les prévisions instables nous ont fait renoncer...
","Première vraies grosses intempéries en haute altitude pour tous les membres du groupe, on a vraiment été surpris par la force du vent et le froid ressenti ainsi que la vitesse avec laquelle nos traces se sont effacées.
Heureusement qu'on était bien équipés. 
J'ai bien compris pourquoi depuis des années je trimballe ces ""veste cagoule paire de gants"" qui me pèsent dans le sac et que je n'avais jamais utilisés!!!","https://www.camptocamp.org/routes/45512","https://www.camptocamp.org/outings/1138189",
"1135242","https://www.camptocamp.org/xreports/1135242","Rochefort ridge rock fall","rocher haute-montagne,neige glace mixte","excellent","[775700.2559203444:5758676.1177073475]","3900","France,Haute-Savoie,Mont-Blanc,Vallée d'Aoste","jonmurua","https://www.camptocamp.org/users/687229","2019-08-03","chute de pierres,chute d'une personne","2",,"1","oui","De 1 à 3 jours","non renseigné","40-45","36","F","victime principale","autonome","2 à 3 fois par mois","15 et plus",,"Équipé au-dessus déclenche une avalanche rocheuses qui chute sur la victime. Une grande pierre frappe sa tête. Perdre de conscience et chute de 10 mètre.","Great weather forecasted for the weekend. With a bit of anxiety and plenty of enthusiasm we planned to:
Day 1 take the first telecabine. Go all the way to Canzio and keep going for about a 12 hour day up until Margarita to biwak there.
Clear sky and gorgeous views awaiting.
We were a bit anxious about finding water up there, but we thought we could make some water at Canzio in case.
I was also a bit worried about the technical sections from Canzio up at the end of the day when we'd be already tired.
Day 2 would be easier terrain with less stress, having passed the most technical part the previous day with sun light.

We started the route perfectly well. Good pace, great communication, no risks. Admittedly, my usual mistake, probably a bit too fast.
We found it a bit delicate with the faces covered with a bit of fresh snow. Had to climb with crampons which was not envisaged. Not a problem!
Snow ridges RAS!
We were catching up with the parties that left earlier than us from the hut!

A team was about 100 meters above us when we started climbing the Dome de Rochefort. They made the trace for us which we followed.
The terrain was unstable. Loose rock covered with snow. Not too steep, but delicate.
I took the lead with the mindset of having always a protection point between us both. It was working very well. Around 10 meters of rope between us, zig-zagging to find solid rocks.
The party above had exited the face already, but we could still see them. Maybe they were having a break.
- Yikes! That traverse looks delicate. Bah! It's not too steep. Let's see on the right... Those rocks look horrible! Ok, I'll follow the traces.
- Jon, I'm taking the protection off...
- What? I can't protect here. Ok, I'll find something there, it's just a meter...
... A friend here... No... A friend there... No... A sling... That wouldn't hold...
- HRTHRTTHFJDHFKT...!!!!
- What?
- Aaaaaahhhhh....
- Sh**t!!!
Rock avalanche triggered by the team above falling on my partner. She tries to dodge some but a big one hits her right on her head. She collapses and she starts falling down with the rocks. She doesn't move. She keeps falling.
- Sh**t! There is no protection. Hold the rock Jon! for Fcks sake! Hold it tight!
... ... Rope elongation ... ...
... ... It pulls strongly down ... ...
...
It sort of stops, but keeps pulling down strongly.
- Help! Help! Help! I don't know how long I can hold this. Help! Help! Help!

...

I place 3 friends that would not hold a fly.

...

Emma! Emma!
No answer.
Help! Help!
Take the phone out the take gloves off, try to call 112 while holding the weight with the other hand.
...

2 minutes later, the rope doesn't pull anymore. It's Emma that has woken up.
- Hahcu h uu jayfj. Cjddd gjdj!
- Emma, you're ok?
- udjdjud xjcjhf cjfjfjf ccfhd
- Red flag!

Managed to call 112: Immediate evacuation required. Possible brain damage.
- Why isn't the team above coming to help...?

20 minutes later, the team behind catches up, climbs up and builds a solid anchor for us (if you read this, thanks a million!!!). So that I go down to check on my partner: general amnesia, disorientation, lose of balance. Pulse ok, breath ok, back ok, eyes ok. No visible hemorrhage.
- Hold on Emma, they are coming to help.
- Where am I? What happened? (repeated 100 times at least).

...

Rescue

...

Hospital

...

No major injuries. No brain damage. She'll be fine!
Me? I need to digest this. This was a close call.","A la montée du Dôme de Rochefort depuis l'aiguille.","Bien planifié.
Topo bien étudié pendant la semaine.
4 versions du topo en papier imprimées pour la route.","2cm de neige fraîche sur la rocher.
30 km/h du vents.
Assez chaud.","Très bonnes.
Bien aclimaté.","C'est un classique.
La victime l'avais déjà essayé l'année passée sans succès à cause de fièvre.","Très bon communication.
Partage honnêtes des habilités, contraints, émotions, préoccupations et motivations.","10 minutes avant l'accident on avait discuté notre statut.
On avait révisé l'horaire - on était très bien.
On a discuté la rocher qui était délicate à cause de la neige.
On avait aussi convenu avoir toujours un point de protection entre nous avant le début de la face.","On était très bien.
La victime l'avais dit que j'allais 5% trop vite pour elle et elle m'avais demandé quelques fois un moment pour rattraper la respiration.","Control de partenaire ok.
Équipement dans le baudrier ok.
Lecture de route ok.
Lecture de la face à la recherche de la trace compliquée. Nous avons raté un relais à 15 mètres à droite.
Face difficile à protéger à cause de la qualité de la rocher.","Corde tendu et assez courte (10m)!!!
Grâce à ça j'ai pu arrêté le chute.
Pas corde courte - on aurait été les deux frappés par la rocher.
Au même temps, c'était trop courte pour avoir toujours un point entre nous deux.
Exercices d'arrêt des chutes fait le mois antérieur.","Pas de protection entre nous deux.
Grimper au-dessous des autres.","A réfléchir.
Toujours être protégé (changer la longueur de la corde, mettre des points...) ou prendre quelque risques pour être plus vite et éviter des autres risques (la nuit, des orages...).

Je ferai plus gaffe quand il y a quelqu'un au-dessus.","Pas des conséquences physiques.",,,
"1146419","https://www.camptocamp.org/xreports/1146419","Chute dûe à un rocher instable","rocher haute-montagne","bon","[14445.404017331357:5290043.940647951]",,"France,Hautes-Pyrénées,Bigorre - Ordesa","richardweng","https://www.camptocamp.org/users/580078","2019-07-29","chute encordé","2",,"1","oui","supérieur à 3 mois",,,"33","H","victime principale","débrouillé","1 fois par mois","15 et plus",,"Chute suite à un appui sur un rocher instable.","Je suis en second. Dans une petite désecalade lors d'une traversée, je pose mes deux pieds sur un bloc et je le sens basculer. Je chute, j'attends que la corde me retienne, mais j’atterris d'abord les deux pieds sur une petite plateforme. Vive douleur, je me retrouve par terre, et fais le bilan de la situation. La corde est tendue, elle a retenu la fin de la chute. Au toucher, je sens que ""ça bouge"" dans ma cheville gauche ; c'est certainement cassé, mais au moins la fracture n'est pas ouverte. A droite ça semble moins grave, mais ça fait mal quand même quand je touche ; peut-être une entorse. Je préviens Cécile de la situation, elle me mouline sur une bonne plateforme quelques mètres en contrebas et me rejoint. Vu les dégâts, difficile d'envisager une descente autonome, j'appelle les secours mais je me doute que l'hélicoptère ne viendra pas à cause du brouillard.","Vers la partie la plus basse de l'arête, après les gendarmes.","Nous étions partis pour la crête d'Espade, mais vu le brouillard, nous nous sommes rabattus sur cette course qui devait être moins longue et plus facile.","Brouillard au départ du parking, nous montons pour voir si les crêtes sont dégagées ou si elles sont aussi prises dans le brouillard. Arrivés sur le petit sommet au dessus de la hourquette d'Aubert, le ciel est clair et nous voyons l'arête jusqu'au pic de Madamète.","Niveau technique et physique en adéquation avec la course.","Cette sortie était un plan B à la traversée de la crête d'Espade initialement prévue (le plan C étant de faire de la rando dans le coin).","Couple habitué à grimper ensemble, première course d'alpi en tête pour Cécile.","Attention un peu relâchée car j'étais en second et peut-être plus focalisé sur ce que faisait Cécile que sur ce que j'étais moi-même en train de faire.","Pas d'incidence de l'horaire sur l'événement.","Nous étions encordés à double sur un brin de rappel, avec 2 bonnes protections entre nous.","Encordement correct et présence de bonnes protections.","Brouillard qui a empêché l'hélicoptère des secours de décoller. Ils ont dû venir et me redescendre à pied. Merci infiniment à eux.","Quelques réflexions :
1. j'ai l'habitude de tester mes prises mais l'ai-je bien fait pour ce bloc ? Est-ce que j'étais trop en confiance ? Je ne m'en souviens plus.
2. Pourquoi est-ce que je n'ai pas pu me retenir par des prises de main ? Est-ce qu'elles étaient trop petites ou est-ce que je les ai lâchées pour poser mes pieds sur ce bloc ?
3. Le fait qu'il y ait eu du brouillard n'a pas favorisé ni déclenché l'accident mais a grandement compliqué les secours.","Cheville gauche : double fracture tibia - péroné
Cheville droite : grosse entorse

Un grand merci aux CRS de Saint-Lary qui sont venus nous chercher à 5 et qui ont eu beaucoup à faire à me redescendre à pied dans un terrain très difficile (chaos de blocs). La descente a duré 6 h.","https://www.camptocamp.org/routes/571501","https://www.camptocamp.org/outings/1146408",
